ticker_acao,empresa,tipo,qtde,part
POMO4,MARCOPOLO,PN N2,573.840.089,0.104
POSI3,POSITIVO TEC,ON NM,78.616.498,0.022
PRIO3,PETRORIO,ON NM,126.730.759,0.156
PSSA3,PORTO SEGURO,ON NM,94.159.042,0.252
QUAL3,QUALICORP,ON ED NM,281.558.308,0.432
RADL3,RAIADROGASIL,ON NM,213.553.757,1.396
RAIL3,RUMO S.A.,ON NM,1.053.753.059,1.298
RAPT4,RANDON PART,PN N1,176.269.235,0.09
RENT3,LOCALIZA,ON NM,593.233.155,1.239
RLOG3,COSAN LOG,ON NM,125.570.897,0.124
SANB11,SANTANDER BR,UNT,362.227.661,0.583
SAPR11,SANEPAR,UNT N2,200.991.234,0.322
SAPR4,SANEPAR,PN N2,203.503.821,0.063
SBSP3,SABESP,ON EJ NM,339.982.576,0.848
SEER3,SER EDUCA,ON ED NM,54.338.507,0.057
SLCE3,SLC AGRICOLA,ON NM,85.085.106,0.133
SMLS3,SMILES,ON NM,58.842.428,0.05
SMTO3,SAO MARTINHO,ON NM,147.017.773,0.177
SQIA3,SINQIA,ON NM,58.960.436,0.078
STBP3,SANTOS BRP,ON ED NM,664.998.779,0.166
SULA11,SUL AMERICA,UNT N2,278.742.752,0.748
SUZB3,SUZANO S.A.,ON NM,725.859.318,1.838
TAEE11,TAESA,UNT N2,218.568.274,0.374
TCSA3,TECNISA,ON NM,547.783.816,0.026
TEND3,TENDA,ON NM,96.310.946,0.135
TGMA3,TEGMA,ON NM,32.006.778,0.037
TIET11,AES TIETE E,UNT N2,297.885.382,0.269
TIMP3,TIM PART S/A,ON NM,807.711.660,0.679
TOTS3,TOTVS,ON EDB NM,403.397.655,0.504
TRIS3,TRISUL,ON ED NM,79.617.212,0.039
TRPL4,TRAN PAULIST,PN N1,395.797.044,0.47
TUPY3,TUPY,ON NM,65.947.515,0.06
UGPA3,ULTRAPAR,ON NM,1.086.422.872,0.992
UNIP6,UNIPAR,PNB,45.658.398,0.066
USIM5,USIMINAS,PNA ED N1,513.781.576,0.15
VALE3,VALE,ON NM,3.292.010.807,9.041
VIVA3,VIVARA S.A.,ON NM,93.368.726,0.103
VIVT4,TELEF BRASIL,PN,415.131.868,1.254
VLID3,VALID,ON NM,68.845.943,0.038
VULC3,VULCABRAS,ON NM,74.685.291,0.02
VVAR3,VIAVAREJO,ON NM,1.146.662.628,0.681
WEGE3,WEG,ON NM,740.696.136,1.845
WIZS3,WIZ S.A.,ON NM,76.791.625,0.041
YDUQ3,YDUQS PART,ON ED NM,299.667.897,0.535
BBSD11,BB ETF SP DV,ETF,,0.0
XBOV11,CAIXAETFXBOV,ETF,,0.0
BOVB11,ETF BRAD BOV,ETF,,0.0
IVVB11,ISHARE SP500,ETF,,0.0
BOVA11,ISHARES BOVA,ETF,,100.0
BRAX11,ISHARES BRAX,ETF,,0.0
ECOO11,ISHARES ECOO,ETF,,0.0
SMAL11,ISHARES SMAL,ETF,,0.0
BOVV11,IT NOW IBOV,ETF,,0.0
DIVO11,IT NOW IDIV,ETF,,0.0
FIND11,IT NOW IFNC,ETF,,0.0
GOVE11,IT NOW IGCT,ETF,,0.0
MATB11,IT NOW IMAT,ETF,,0.0
ISUS11,IT NOW ISE,ETF,,0.0
PIBB11,IT NOW PIBB,ETF,,0.0
SMAC11,IT NOW SMALL,ETF,,0.0
SPXI11,IT NOW SPXI,ETF,,0.0
